iter	Passed	Remaining
0	147	147161
1	147	73844
2	150	49883
3	151	37676
4	152	30335
5	153	25461
6	155	21989
7	156	19436
8	157	17387
9	159	15786
10	161	14539
11	163	13441
12	164	12493
13	165	11679
14	167	10974
15	168	10360
16	169	9798
17	170	9306
18	171	8870
19	172	8475
20	174	8126
21	175	7791
22	176	7486
23	177	7214
24	178	6967
25	179	6739
26	181	6532
27	183	6358
28	184	6182
29	186	6024
30	187	5857
31	188	5697
32	190	5583
33	191	5440
34	192	5302
35	193	5174
36	194	5050
37	195	4955
38	196	4843
39	197	4742
40	198	4647
41	199	4550
42	200	4457
43	201	4373
44	202	4305
45	203	4223
46	204	4147
47	205	4073
48	207	4021
49	208	3957
50	209	3891
51	210	3828
52	210	3765
53	211	3705
54	212	3647
55	212	3590
56	213	3536
57	214	3485
58	215	3433
59	215	3382
60	216	3334
61	217	3285
62	217	3240
63	218	3194
64	219	3161
65	220	3123
66	221	3083
67	221	3039
68	222	3000
69	222	2961
70	223	2922
71	223	2886
72	224	2850
73	225	2816
74	225	2787
75	226	2754
76	227	2722
77	227	2690
78	228	2659
79	228	2629
80	229	2600
81	229	2571
82	230	2543
83	230	2515
84	231	2486
85	231	2460
86	231	2433
87	232	2409
88	233	2386
89	233	2364
90	234	2341
91	234	2318
92	235	2295
93	235	2273
94	236	2251
95	236	2230
96	237	2214
97	238	2195
98	239	2176
99	239	2157
100	240	2138
101	240	2117
102	241	2099
103	241	2081
104	242	2064
105	242	2046
106	243	2029
107	243	2012
108	244	1999
109	245	1983
110	245	1968
111	246	1954
112	246	1938
113	247	1923
114	248	1909
115	248	1893
116	248	1878
117	249	1864
118	249	1849
119	250	1836
120	250	1823
121	251	1812
122	252	1798
123	252	1785
124	253	1773
125	253	1760
126	254	1748
127	254	1735
128	255	1723
129	255	1711
130	256	1699
131	256	1687
132	257	1676
133	257	1666
134	258	1656
135	259	1646
136	259	1635
137	260	1625
138	260	1615
139	261	1605
140	261	1595
141	262	1585
142	263	1576
143	263	1566
144	264	1560
145	265	1550
146	265	1541
147	266	1531
148	266	1522
149	267	1513
150	267	1504
151	268	1495
152	268	1487
153	269	1479
154	269	1471
155	270	1463
156	270	1455
157	271	1446
158	272	1438
159	272	1430
160	272	1422
161	273	1414
162	274	1407
163	274	1399
164	275	1393
165	275	1386
166	276	1378
167	277	1371
168	277	1364
169	277	1357
170	278	1350
171	279	1343
172	279	1335
173	279	1328
174	280	1322
175	280	1315
176	282	1311
177	289	1334
178	289	1328
179	290	1323
180	290	1315
181	291	1308
182	291	1301
183	292	1295
184	292	1289
185	293	1282
186	293	1276
187	294	1270
188	294	1264
189	295	1258
190	295	1253
191	296	1248
192	297	1242
193	297	1236
194	298	1231
195	298	1225
196	299	1219
197	299	1214
198	301	1211
199	301	1206
200	302	1201
201	302	1195
202	303	1190
203	303	1185
204	304	1180
205	304	1175
206	305	1169
207	305	1164
208	306	1159
209	307	1155
210	307	1150
211	308	1145
212	308	1140
213	309	1135
214	309	1130
215	310	1125
216	310	1120
217	311	1116
218	311	1111
219	312	1106
220	312	1101
221	313	1097
222	313	1092
223	314	1088
224	314	1084
225	315	1079
226	315	1075
227	316	1070
228	316	1066
229	317	1062
230	317	1058
231	318	1054
232	319	1051
233	319	1047
234	320	1043
235	321	1039
236	321	1035
237	322	1031
238	322	1027
239	323	1023
240	323	1019
241	324	1015
242	324	1011
243	325	1007
244	326	1006
245	327	1003
246	327	999
247	328	995
248	328	991
249	329	988
250	329	984
251	330	980
252	330	976
253	331	972
254	331	969
255	332	965
256	332	962
257	333	959
258	334	955
259	334	952
260	335	948
261	335	945
262	336	942
263	336	938
264	337	935
265	337	931
266	339	930
267	339	927
268	340	924
269	340	921
270	341	918
271	341	915
272	342	911
273	342	908
274	343	905
275	343	902
276	344	898
277	345	896
278	345	893
279	346	891
280	347	888
281	347	885
282	348	882
283	348	879
284	349	876
285	349	873
286	350	870
287	351	869
288	352	866
289	353	864
290	353	862
291	354	859
292	354	856
293	355	853
294	355	850
295	356	847
296	358	847
297	358	845
298	359	843
299	360	840
300	360	837
301	361	834
302	361	831
303	362	828
304	362	825
305	363	823
306	363	820
307	364	818
308	364	815
309	365	813
310	365	810
311	366	807
312	366	805
313	367	802
314	367	799
315	368	797
316	368	794
317	369	791
318	370	790
319	371	788
320	371	786
321	372	784
322	373	782
323	373	779
324	374	777
